Country,TotalCases,TotalDeath,TotalRecovered,ActiveCases
Afghanistan,"1,531",50 ,207,"1,274"
Albania,726,28 ,410,288
Algeria,"3,256",419 ,"1,479","1,358"
Andorra,738,40 ,344,354
Angola,25,2 ,6,17
Anguilla,3, ,1,2
Antigua and Barbuda,24,3 ,11,10
Argentina,"3,780",185 ,"1,030","2,565"
Armenia,"1,746",28 ,833,885
Aruba,100,2 ,69,29
Australia,"6,711",83 ,"5,539","1,089"
Austria,"15,225",542 ,"12,282","2,401"
Azerbaijan,"1,617",21 ,"1,080",516
Bahamas,78,11 ,15,52
Bahrain,"2,588",8 ,"1,160","1,420"
Bangladesh,"5,416",145 ,122,"5,149"
Barbados,79,6 ,31,42
Belarus,"10,463",72 ,"1,695","8,696"
Belgium,"46,134","7,094 ","10,785","28,255"
Belize,18,2 ,5,11
Benin,54,1 ,27,26
Bermuda,109,5 ,39,65
Bhutan,7, ,4,3
Bolivia,866,46 ,54,766
Bosnia and Herzegovina,"1,516",59 ,624,833
Botswana,22,1 ,,21
Brazil,"59,324","4,057 ","29,160","26,107"
British Virgin Islands,6,1 ,3,2
Brunei ,138,1 ,123,14
Bulgaria,"1,290",55 ,205,"1,030"
Burkina Faso,629,41 ,442,146
Burundi,11,1 ,4,6
CAR,19, ,10,9
Cabo Verde,90,1 ,1,88
Cambodia,122, ,117,5
Cameroon,"1,518",53 ,697,768
Canada,"45,354","2,465 ","16,425","26,464"
Caribbean Netherlands,5, ,,5
Cayman Islands,70,1 ,8,61
Chad,46, ,15,31
Channel Islands,525,35 ,332,158
Chile,"12,858",181 ,"6,746","5,931"
China,"82,827","4,632 ","77,394",801
Colombia,"5,142",233 ,"1,067","3,842"
Congo,200,6 ,19,175
Costa Rica,693,6 ,242,445
Croatia,"2,016",54 ,"1,034",928
Cuba,"1,337",51 ,437,849
Curaçao,16,1 ,11,4
Cyprus,810,14 ,148,648
Czechia,"7,352",219 ,"2,471","4,662"
DRC,442,28 ,50,364
Denmark,"8,445",418 ,"5,669","2,358"
Diamond Princess,712,13 ,645,54
Djibouti,"1,008",2 ,373,633
Dominica,16, ,13,3
Dominican Republic,"5,926",273 ,822,"4,831"
Ecuador,"22,719",576 ,"1,366","20,777"
Egypt,"4,319",307 ,"1,114","2,898"
El Salvador,298,8 ,83,207
Equatorial Guinea,258,1 ,8,249
Eritrea,39, ,13,26
Estonia,"1,643",49 ,233,"1,361"
Eswatini,56,1 ,10,45
Ethiopia,123,3 ,41,79
Faeroe Islands,187, ,178,9
Falkland Islands,13, ,11,2
Fiji,18, ,10,8
Finland,"4,576",190 ,"2,500","1,886"
France,"161,488","22,614 ","44,594","94,280"
French Guiana,111,1 ,87,23
French Polynesia,57, ,41,16
Gabon,176,3 ,30,143
Gambia,10,1 ,8,1
Georgia,485,6 ,139,340
Germany,"156,513","5,877 ","109,800","40,836"
Ghana,"1,279",10 ,134,"1,135"
Gibraltar,136, ,131,5
Greece,"2,506",130 ,577,"1,799"
Greenland,11, ,11,0
Grenada,18, ,7,11
Guadeloupe,149,12 ,82,55
Guatemala,473,13 ,45,415
Guinea,996,7 ,208,781
Guinea-Bissau,52, ,3,49
Guyana,74,8 ,12,54
Haiti,72,6 ,6,60
Honduras,627,59 ,65,503
Hong Kong,"1,038",4 ,753,281
Hungary,"2,500",272 ,485,"1,743"
Iceland,"1,790",10 ,"1,570",210
India,"26,496",825 ,"5,939","19,732"
Indonesia,"8,882",743 ,"1,107","7,032"
Iran,"90,481","5,710 ","69,657","15,114"
Iraq,"1,763",86 ,"1,224",453
Ireland,"18,561","1,063 ","9,233","8,265"
Isle of Man,308,18 ,243,47
Israel,"15,398",199 ,"6,602","8,597"
Italy,"195,351","26,384 ","63,120","105,847"
Ivory Coast,"1,111",14 ,449,648
Jamaica,305,7 ,28,270
Japan,"13,231",360 ,"1,656","11,215"
Jordan,444,7 ,332,105
Kazakhstan,"2,652",25 ,646,"1,981"
Kenya,343,14 ,98,231
Kuwait,"2,892",19 ,656,"2,217"
Kyrgyzstan,682,8 ,370,304
Laos,19, ,7,12
Latvia,812,12 ,267,533
Lebanon,707,24 ,145,538
Liberia,120,11 ,25,84
Libya,61,2 ,18,41
Liechtenstein,81,1 ,55,25
Lithuania,"1,438",41 ,467,930
Luxembourg,"3,711",85 ,"3,088",538
MS Zaandam,9,2 ,,7
Macao,45, ,31,14
Madagascar,123, ,62,61
Malawi,34,3 ,4,27
Malaysia,"5,780",98 ,"3,862","1,820"
Maldives,177, ,17,160
Mali,370,21 ,91,258
Malta,448,4 ,282,162
Martinique,175,14 ,77,84
Mauritania,7,1 ,6,0
Mauritius,331,9 ,295,27
Mayotte,380,4 ,144,232
Mexico,"13,842","1,305 ","7,149","5,388"
Moldova,"3,304",94 ,825,"2,385"
Monaco,94,4 ,42,48
Mongolia,38, ,9,29
Montenegro,320,6 ,153,161
Montserrat,11,1 ,2,8
Morocco,"4,047",160 ,557,"3,330"
Mozambique,70, ,12,58
Myanmar,146,5 ,10,131
Namibia,16, ,8,8
Nepal,51, ,16,35
Netherlands,"37,190","4,409 ",N/A,"32,531"
New Caledonia,18, ,17,1
New Zealand,"1,470",18 ,"1,142",310
Nicaragua,12,3 ,7,2
Niger,684,27 ,325,332
Nigeria,"1,182",35 ,222,925
North Macedonia,"1,367",59 ,374,934
Norway,"7,499",201 ,32,"7,266"
Oman,"1,998",10 ,333,"1,655"
Pakistan,"12,723",269 ,"2,866","9,588"
Palestine,342,2 ,92,248
Panama,"5,538",159 ,338,"5,041"
Papua New Guinea,8, ,,8
Paraguay,228,9 ,85,134
Peru,"25,331",700 ,"7,797","16,834"
Philippines,"7,579",501 ,862,"6,216"
Poland,"11,395",526 ,"2,265","8,604"
Portugal,"23,392",880 ,"1,277","21,235"
Qatar,"9,358",10 ,929,"8,419"
Romania,"11,036",608 ,"3,054","7,374"
Russia,"80,949",747 ,"6,767","73,435"
Rwanda,183, ,88,95
Réunion,417, ,300,117
S. Korea,"10,728",242 ,"8,717","1,769"
Saint Kitts and Nevis,15, ,2,13
Saint Lucia,15, ,15,0
Saint Martin,38,3 ,24,11
Saint Pierre Miquelon,1, ,,1
San Marino,538,41 ,64,433
Sao Tome and Principe,4, ,,4
Saudi Arabia,"16,299",136 ,"2,215","13,948"
Senegal,614,7 ,276,331
Serbia,"7,779",151 ,"1,152","6,476"
Seychelles,11, ,6,5
Sierra Leone,86,3 ,10,73
Singapore,"13,624",12 ,"1,002","12,610"
Sint Maarten,73,12 ,22,39
Slovakia,"1,379",18 ,394,967
Slovenia,"1,396",82 ,221,"1,093"
Somalia,390,18 ,8,364
South Africa,"4,361",86 ,"1,473","2,802"
South Sudan,6, ,,6
Spain,"223,759","22,902 ","95,708","105,149"
Sri Lanka,471,7 ,120,344
St. Barth,6, ,6,0
St. Vincent Grenadines,14, ,5,9
Sudan,213,17 ,19,177
Suriname,10,1 ,7,2
Sweden,"18,177","2,192 ","1,005","14,980"
Switzerland,"28,894","1,599 ","21,300","5,995"
Syria,42,3 ,11,28
Taiwan,429,6 ,281,142
Tanzania,299,10 ,48,241
Thailand,"2,922",51 ,"2,594",277
Timor-Leste,24, ,2,22
Togo,96,6 ,62,28
Trinidad and Tobago,115,8 ,53,54
Tunisia,939,38 ,207,694
Turkey,"107,773","2,706 ","25,582","79,485"
Turks and Caicos,11,1 ,4,6
UAE,"9,813",71 ,"1,887","7,855"
UK,"148,377","20,319 ",N/A,"127,714"
USA,"960,896","54,265 ","118,162","788,469"
Uganda,75, ,46,29
Ukraine,"8,617",209 ,840,"7,568"
Uruguay,596,14 ,370,212
Uzbekistan,"1,865",8 ,707,"1,150"
Vatican City,9, ,2,7
Venezuela,323,10 ,132,181
Vietnam,270, ,225,45
Western Sahara,6, ,5,1
Western Sahara,6, ,5,1
Yemen,1, ,1,0
Zambia,84,3 ,37,44
Zimbabwe,31,4 ,2,25
